-1:,-2:,-3:,-4:,-area:,-length:,-roundIndex:,-eccIndex:,-entropy:
0,0,1.1,2.2,19056.5,926.68,0.372372,0.763052,2.14413
0,0,1.1,2.2,17370.4,794.235,0.443649,0.713713,2.14321
0,0,1.1,2.2,17407.3,871.231,0.427983,0.688407,2.14331
0,0,1.1,2.2,18843,941.895,0.380949,0.733721,2.14317
0,0,1.1,2.2,13663.2,721.778,0.468462,0.689187,2.14491
0,0,1.1,2.2,14628.5,766.38,0.446716,0.699726,2.14522
0,0,1.1,2.2,12943,747.627,0.460671,0.680694,2.14369
0,0,1.1,2.2,14712,769.077,0.448812,0.700336,2.14481
0,0,1.1,2.2,13020.8,748.661,0.460152,0.699001,2.1428
0,0,1.1,2.2,14766.5,762.737,0.456165,0.697765,2.14522
0,0,1.1,2.2,14857.8,770.711,0.452527,0.696864,2.14528
0,0,1.1,2.2,14815.2,769.816,0.452034,0.69884,2.14539
0,0,1.1,2.2,14850.9,775.813,0.451559,0.696271,2.14514
0,0,1.1,2.2,14826.3,769.181,0.452588,0.701848,2.14535
0,0,1.1,2.2,14900.7,771.308,0.45136,0.704347,2.14501
0,0,1.1,2.2,14873.6,768.338,0.453759,0.692591,2.14608
0,0,1.1,2.2,13154.1,752.445,0.46458,0.680206,2.14417
0,0,1.1,2.2,14916.6,775.698,0.448708,0.698364,2.14498
0,0,1.1,2.2,14928.6,773.764,0.454007,0.698262,2.14594
0,0,1.1,2.2,15075.2,774.565,0.45455,0.698618,2.1456
0,0,1.1,2.2,15054.5,777.989,0.453312,0.700847,2.14692
0,0,1.1,2.2,14936.8,773.151,0.459953,0.695453,2.14525
0,0,1.1,2.2,14943.2,776.91,0.452595,0.695159,2.14566
0,0,1.1,2.2,14929.6,775.056,0.455005,0.696375,2.14606
0,0,1.1,2.2,13224.1,761.768,0.457002,0.704561,2.14496
0,0,1.1,2.2,13210.1,763.217,0.457813,0.681015,2.14367
0,0,1.1,2.2,14443.2,726.634,0.464598,0.614435,2.14722
0,0,1.1,2.2,15895.4,968.686,0.30785,0.626833,2.14315
0,0,1.1,2.2,11055.7,688.122,0.448927,0.602646,2.158
0,0,1.1,2.2,10704.2,472.644,0.530149,0.626488,2.15545
0,0,1.1,2.2,18893.2,856.83,0.389633,0.709196,2.16712
0,0,1.1,2.2,12975.9,670.537,0.420967,0.721744,2.16441
0,0,1.1,2.2,18682.5,626.679,0.40548,0.653586,2.13982
0,0,1.1,2.2,11629,367.53,0.657346,0.533741,2.15962
0,0,1.1,2.2,20107.5,574.102,0.668255,0.478817,2.12757
0,0,1.1,2.2,16858.8,512.53,0.564732,0.556467,2.1754
0,0,1.1,2.2,23066.3,606.916,0.586164,0.472247,2.13515
0,0,1.1,2.2,27403.5,667.893,0.682947,0.423701,2.10539
